gene_name,seq_id
acp-5,WBGene00017427
aha-1,WBGene00000095
alr-1,WBGene00044330
aly-1,WBGene00000120
ama-1,WBGene00000123
atf-2,WBGene00000220
attf-2,WBGene00017317
attf-4,WBGene00015477
ccch-2,WBGene00009537
ccch-5,WBGene00013319
cebp-2,WBGene00016754
ceh-14,WBGene00000438
ceh-16,WBGene00000439
ceh-21,WBGene00000444
ceh-27,WBGene00000449
ceh-31,WBGene00000452
ceh-32,WBGene00000453
ceh-34,WBGene00000455
ceh-36,WBGene00000457
ceh-39,WBGene00000460
ceh-40,WBGene00000461
ceh-41,WBGene00000462
ceh-43,WBGene00000463
ceh-58,WBGene00007417
ceh-6,WBGene00000431
ceh-86,WBGene00018355
ceh-93,WBGene00019864
cep-1,WBGene00000467
ces-1,WBGene00000468
chd-7,WBGene00007053
cnd-1,WBGene00000561
cpl-1,WBGene00000776
crh-2,WBGene00016162
cwn-1,WBGene00000857
daf-16,WBGene00000912
daf-19,WBGene00000914
daf-3,WBGene00000899
dhhc-10,WBGene00019344
die-1,WBGene00000995
dmd-4,WBGene00007776
dpff-1,WBGene00016200
dpl-1,WBGene00001061
dpy-30,WBGene00001088
dpy-31,WBGene00006592
dpy-7,WBGene00001069
drr-1,WBGene00009741
dsc-1,WBGene00001096
dve-1,WBGene00022861
dyf-7,WBGene00001123
efl-3,WBGene00009899
egl-18,WBGene00001186
egl-27,WBGene00001194
egl-38,WBGene00001204
egl-5,WBGene00001174
elf-1,WBGene00016029
elt-1,WBGene00001249
elt-2,WBGene00001250
elt-3,WBGene00001251
elt-6,WBGene00001253
elt-7,WBGene00015981
end-1,WBGene00001310
end-3,WBGene00001311
eor-1,WBGene00001324
ets-7,WBGene00017601
eyg-1,WBGene00013147
fkh-4,WBGene00001436
flh-1,WBGene00012435
flh-3,WBGene00012436
gadr-1,WBGene00010240
ges-1,WBGene00001578
glp-1,WBGene00001609
his-55,WBGene00001929
his-72,WBGene00001946
hlh-1,WBGene00001948
hlh-16,WBGene00001960
hlh-17,WBGene00001961
hlh-19,WBGene00001962
hlh-2,WBGene00001949
hlh-26,WBGene00001965
hlh-3,WBGene00001950
hlh-4,WBGene00001951
hlh-8,WBGene00001953
hmg-1.2,WBGene00001972
hmg-11,WBGene00001976
hnd-1,WBGene00001981
hsf-1,WBGene00002004
hsp-3,WBGene00002007
icd-2,WBGene00022042
irx-1,WBGene00007984
isw-1,WBGene00002169
lag-1,WBGene00002245
let-381,WBGene00002601
lim-4,WBGene00002987
lim-6,WBGene00002988
lin-1,WBGene00002990
lin-11,WBGene00003000
lin-13,WBGene00003002
lin-15B,WBGene00023497
lin-26,WBGene00003012
lin-32,WBGene00003018
lin-39,WBGene00003024
lin-40,WBGene00003025
lir-2,WBGene00003045
lpd-2,WBGene00003059
lsy-2,WBGene00003087
lsy-27,WBGene00009834
mab-5,WBGene00003102
madf-10,WBGene00013717
med-2,WBGene00003181
mel-28,WBGene00003210
mep-1,WBGene00003218
mes-4,WBGene00003222
mml-1,WBGene00003378
mnm-2,WBGene00003380
moe-3,WBGene00003388
nfya-1,WBGene00011614
nfyb-1,WBGene00021132
nfyc-1,WBGene00017742
nhr-102,WBGene00003692
nhr-127,WBGene00003717
nhr-15,WBGene00003614
nhr-171,WBGene00016926
nhr-2,WBGene00003601
nhr-23,WBGene00003622
nhr-232,WBGene00012494
nhr-25,WBGene00003623
nhr-28,WBGene00003624
nhr-34,WBGene00003627
nhr-49,WBGene00003639
nhr-57,WBGene00003647
nhr-64,WBGene00003654
nhr-67,WBGene00003657
nhr-68,WBGene00003658
nhr-69,WBGene00003659
nhr-71,WBGene00003661
nhr-79,WBGene00003669
nob-1,WBGene00003779
nurf-1,WBGene00009180
pal-1,WBGene00003912
pax-3,WBGene00003939
pbrm-1,WBGene00007042
pes-1,WBGene00003976
pes-10,WBGene00003983
pgp-2,WBGene00003996
pgp-3,WBGene00003997
pha-4,WBGene00004013
pros-1,WBGene00000448
rad-26,WBGene00007761
ref-1,WBGene00004334
ref-2,WBGene00004335
repo-1,WBGene00008683
saeg-2,WBGene00011964
sbp-1,WBGene00004735
sdc-2,WBGene00004746
sdz-28,WBGene00020073
sdz-38,WBGene00014131
sea-1,WBGene00004750
sem-2,WBGene00004771
sex-1,WBGene00004786
skr-8,WBGene00004814
sma-9,WBGene00004862
somi-1,WBGene00010868
spr-4,WBGene00005009
sup-37,WBGene00006342
swsn-7,WBGene00007433
tbx-11,WBGene00006547
tbx-2,WBGene00006543
tbx-35,WBGene00006554
tbx-37,WBGene00006556
tbx-38,WBGene00006557
tbx-8,WBGene00006545
tbx-9,WBGene00006546
tlp-1,WBGene00006580
tps-2,WBGene00006603
ttx-3,WBGene00006654
unc-120,WBGene00006844
unc-130,WBGene00006853
unc-30,WBGene00006766
unc-39,WBGene00006775
unc-86,WBGene00006818
vab-15,WBGene00006881
vab-23,WBGene00014153
vab-7,WBGene00006873
vha-12,WBGene00006921
wrm-1,WBGene00006943
zip-3,WBGene00012330
zip-8,WBGene00017755
ztf-11,WBGene00009939
ztf-13,WBGene00018704
ztf-16,WBGene00019960
ztf-3,WBGene00016905
C05B5.4,WBGene00007321
C25D7.10,WBGene00007720
D1081.8,WBGene00008386
F16B12.6,WBGene00008882
F17C11.1,WBGene00008913
F21A10.2,WBGene00008999
F21D5.9,WBGene00009014
F22D6.2,WBGene00009050
F23B12.7,WBGene00009084
F32H2.6,WBGene00009343
F36A2.3,WBGene00009453
F38C2.7,WBGene00009539
F39B2.1,WBGene00009553
F57A8.1,WBGene00010177
K09A11.1,WBGene00010704
T19B10.2,WBGene00011831
T22C8.3,WBGene00011924
T28H10.3,WBGene00012144
Y116A8C.19,WBGene00013796
B0310.2,WBGene00015138
B0336.3,WBGene00015143
C28G1.4,WBGene00016189
C50F7.5,WBGene00016845
F37B4.10,WBGene00018140
F49E8.2,WBGene00018636
F57C9.4,WBGene00019011
K02D7.1,WBGene00019298
R02D3.7,WBGene00019824
R144.3,WBGene00020093
T01B11.2,WBGene00020139
T20F7.1,WBGene00020630
Y71G12B.6,WBGene00022146
ZK185.1,WBGene00022681
copa-1,WBGene00022119
aptf-4,WBGene00009202
